GroupID,lat,lot,organization_id,city_town_village,latitude,longitude,organization_name,new_organization_name,city_town_village_old
1,41.01,28.96,9976,Capa,41.0126037,28.961838,Istanbul University Istanbul Medical Faculty,Istanbul University - Capa,Nelson
1,41.01,28.96,2168738,Istanbul,41.0126037,28.961838,Istanbul University Oncology Institute,Istanbul University - Istanbul,Newtown
1,41.01,28.96,2168760,Istanbul,41.0126037,28.961838,Istanbul University Capa Medical Faculty,Istanbul University - Istanbul,Newtown
1,41.01,28.96,2181127,Fatih Istanbul,41.0126037,28.961838,Istanbul Universitesi,Istanbul University - Fatih Istanbul,Newtown
1,41.01,28.96,2192828,Istanbul,41.0126037,28.961838,Istanbul University Capa Campus,Istanbul University - Istanbul,Wellington
1,41.01,28.96,5858875,Istanbul,41.0126037,28.961838,Istanbul University Istanbul Medicine Faculty,Istanbul University - Istanbul,Wellington
